SN,depart,airline,flight-code,departure-time,departure-city,flight-duration,flight-layover,arrival-time,arrival-city,flight-cost
1,"Fri, Mar 10, 2023",IndiGo,6E 2112,04:45,New Delhi,02 h 30 m ,Non stop,07:15,Mumbai,"₹ 4,199"
2,"Fri, Mar 10, 2023",IndiGo,6E 2716,02:00,New Delhi,02 h 15 m ,Non stop,04:15,Mumbai,"₹ 4,768"
3,"Fri, Mar 10, 2023",Akasa Air,QP 1128,16:10,New Delhi,02 h 10 m ,Non stop,18:20,Mumbai,"₹ 5,158"
4,"Fri, Mar 10, 2023",IndiGo,"6E 2208, 6E 5282",22:45,New Delhi,08 h 40 m ,1 stop via Jaipur,07:25,Mumbai,"₹ 5,281"
5,"Fri, Mar 10, 2023",Air India,AI 887,07:00,New Delhi,02 h 15 m ,Non stop,09:15,Mumbai,"₹ 5,346"
6,"Fri, Mar 10, 2023",Go First,G8 2501,02:40,New Delhi,02 h 10 m ,Non stop,04:50,Mumbai,"₹ 5,399"
7,"Fri, Mar 10, 2023",SpiceJet,SG 8701,07:00,New Delhi,02 h 25 m ,Non stop,09:25,Mumbai,"₹ 5,450"
8,"Fri, Mar 10, 2023",IndiGo,"6E 6034, 6E 6425",05:00,New Delhi,05 h 05 m ,1 stop via Ahmedabad,10:05,Mumbai,"₹ 5,619"
9,"Fri, Mar 10, 2023",IndiGo,6E 5218,06:30,New Delhi,02 h 15 m ,Non stop,08:45,Mumbai,"₹ 5,813"
10,"Fri, Mar 10, 2023",Go First,G8 334,07:20,New Delhi,02 h 10 m ,Non stop,09:30,Mumbai,"₹ 5,827"
11,"Fri, Mar 10, 2023",Go First,"G8 719, G8 459",05:00,New Delhi,05 h 45 m ,1 stop via Ahmedabad,10:45,Mumbai,"₹ 5,946"
12,"Fri, Mar 10, 2023",Air India,AI 805,20:00,New Delhi,02 h 10 m ,Non stop,22:10,Mumbai,"₹ 6,029"
13,"Fri, Mar 10, 2023",Air India,AI 636,14:30,New Delhi,03 h 45 m ,1 stop via Indore,18:15,Mumbai,"₹ 6,029"
14,"Fri, Mar 10, 2023",IndiGo,"6E 153, 6E 6182",20:20,New Delhi,09 h 30 m ,1 stop via Ahmedabad,05:50,Mumbai,"₹ 6,094"
15,"Fri, Mar 10, 2023",IndiGo,6E 6814,07:15,New Delhi,02 h 25 m ,Non stop,09:40,Mumbai,"₹ 6,206"
16,"Fri, Mar 10, 2023",IndiGo,6E 2328,10:00,New Delhi,02 h 35 m ,Non stop,12:35,Mumbai,"₹ 6,206"
17,"Fri, Mar 10, 2023",SpiceJet,"SG 2976, SG 279",20:10,New Delhi,14 h 20 m ,1 stop via Jaipur,10:30,Mumbai,"₹ 6,222"
18,"Fri, Mar 10, 2023",IndiGo,"6E 6475, 6E 5276",06:20,New Delhi,04 h 35 m ,1 stop via Ahmedabad,10:55,Mumbai,"₹ 6,323"
19,"Fri, Mar 10, 2023",Go First,G8 354,23:10,New Delhi,02 h 10 m ,Non stop,01:20,Mumbai,"₹ 6,528"
20,"Fri, Mar 10, 2023",IndiGo,6E 2505,11:00,New Delhi,02 h 20 m ,Non stop,13:20,Mumbai,"₹ 6,627"
21,"Fri, Mar 10, 2023",IndiGo,6E 2138,12:00,New Delhi,02 h 20 m ,Non stop,14:20,Mumbai,"₹ 6,627"
22,"Fri, Mar 10, 2023",IndiGo,6E 2176,14:15,New Delhi,02 h 15 m ,Non stop,16:30,Mumbai,"₹ 6,627"
23,"Fri, Mar 10, 2023",AirAsia,"I5 743, I5 762",04:55,New Delhi,05 h 55 m ,1 stop via Jaipur,10:50,Mumbai,"₹ 6,628"
24,"Fri, Mar 10, 2023",Go First,G8 336,14:35,New Delhi,02 h 10 m ,Non stop,16:45,Mumbai,"₹ 6,877"
25,"Fri, Mar 10, 2023",Air India,AI 665,08:00,New Delhi,02 h 20 m ,Non stop,10:20,Mumbai,"₹ 6,921"
26,"Fri, Mar 10, 2023",Air India,AI 865,10:00,New Delhi,02 h 25 m ,Non stop,12:25,Mumbai,"₹ 6,921"
27,"Fri, Mar 10, 2023",Air India,"AI 443, AI 400",04:45,New Delhi,05 h 05 m ,1 stop via Aurangabad,09:50,Mumbai,"₹ 7,151"
28,"Fri, Mar 10, 2023",IndiGo,6E 2075,08:10,New Delhi,01 h 55 m ,Non stop,10:05,Mumbai,"₹ 7,194"
29,"Fri, Mar 10, 2023",IndiGo,6E 2526,08:45,New Delhi,02 h 25 m ,Non stop,11:10,Mumbai,"₹ 7,194"
30,"Fri, Mar 10, 2023",IndiGo,6E 5318,16:25,New Delhi,02 h 15 m ,Non stop,18:40,Mumbai,"₹ 7,194"
31,"Fri, Mar 10, 2023",Go First,G8 346,19:10,New Delhi,02 h 10 m ,Non stop,21:20,Mumbai,"₹ 7,321"
32,"Fri, Mar 10, 2023",IndiGo,"6E 5603, 6E 5383",15:20,New Delhi,03 h 55 m ,1 stop via Aurangabad,19:15,Mumbai,"₹ 7,342"
33,"Fri, Mar 10, 2023",IndiGo,"6E 184, 6E 6208",09:40,New Delhi,06 h 30 m ,1 stop via Ahmedabad,16:10,Mumbai,"₹ 7,424"
34,"Fri, Mar 10, 2023",IndiGo,6E 2016,15:45,New Delhi,02 h 15 m ,Non stop,18:00,Mumbai,"₹ 7,689"
35,"Fri, Mar 10, 2023",IndiGo,6E 864,17:25,New Delhi,02 h 15 m ,Non stop,19:40,Mumbai,"₹ 7,892"
36,"Fri, Mar 10, 2023",IndiGo,6E 2519,23:00,New Delhi,02 h 20 m ,Non stop,01:20,Mumbai,"₹ 7,892"
37,"Fri, Mar 10, 2023",Go First,G8 323,18:00,New Delhi,02 h 10 m ,Non stop,20:10,Mumbai,"₹ 8,055"
38,"Fri, Mar 10, 2023",Air India,"AI 542, AI 618",09:45,New Delhi,05 h 10 m ,1 stop via Hyderabad,14:55,Mumbai,"₹ 8,124"
